"Time (s)","Parcel Centroid[X] (m)","Parcel Centroid[Y] (m)","Parcel Centroid[Z] (m)","Particle Velocity[i] (m/s)","Particle Velocity[j] (m/s)","Particle Velocity[k] (m/s)","Particle Velocity: Magnitude (m/s)","Volume Fraction of Phase 1","Wall Shear Stress: Magnitude (Pa)","Report: Element Count 1","Report: Total Solver CPU Time (s)","X (m)","Y (m)","Z (m)"
0.06,-0.105318308981406,0.0325407597917245,0.0120067483367673,0.657014407303015,0.000108436172999297,-0.258973100351488,0.706211731612976,0.0301986540735927,0,3308,28.008,-0.105318308981406,0.0325407597917245,0.0120067483367673
0.06,-0.105237665688011,0.0256167548914912,0.00526474796281016,0.711005211891971,-0.0207070216058394,-0.132345161420518,0.723513948609669,0.0270427703326298,0,3308,28.008,-0.105237665688011,0.0256167548914912,0.00526474796281016
0.06,-0.105324765317396,0.0248673696854315,0.0152594007229533,0.656757809555026,-2.35900632939481e-05,-0.259381408857887,0.706122890316629,0.0301986540735927,0,3308,28.008,-0.105324765317396,0.0248673696854315,0.0152594007229533
0.06,-0.105311897875807,0.0386635040419642,0.00547600663090201,0.657504530095293,-0.000404306286146405,-0.257830799347093,0.706250020638135,0.00247178995299855,0,3308,28.008,-0.105311897875807,0.0386635040419642,0.00547600663090201
0.06,-0.105324485207016,0.0266642574537599,0.010657272129704,0.656765369100907,0.000141082756632401,-0.259481812967978,0.706166822511326,0.0301986540735927,0,3308,28.008,-0.105324485207016,0.0266642574537599,0.010657272129704
0.06,-0.105324884643255,0.0247571568385274,0.0124342101034625,0.656742803808038,0.000168586267486424,-0.259627347555208,0.706199333314274,0.0301986540735927,0,3308,28.008,-0.105324884643255,0.0247571568385274,0.0124342101034625
0.06,-0.104786369608287,0.0372877963438966,0.00114385401958457,0.732282238133207,0.00456275518583061,-0.121465059198217,0.742301728157958,0.00247178995299855,0,3308,28.008,-0.104786369608287,0.0372877963438966,0.00114385401958457
0.06,-0.105329856716682,0.0274296474434488,0.0058549313608678,0.65653938011286,9.56351526870938e-05,-0.259224460485205,0.705862088299766,0.0270427703326298,0,3308,28.008,-0.105329856716682,0.0274296474434488,0.0058549313608678
0.06,-0.105323700398859,0.0405281469286053,0.0084382224398657,0.657076574466309,-0.000225260961986123,-0.257373898821597,0.705684773287272,0.00247178995299855,0,3308,28.008,-0.105323700398859,0.0405281469286053,0.0084382224398657
0.06,-0.105327618758691,0.0291792856773899,0.0166040561932312,0.656934309043692,0.000169468777860576,-0.259125563415317,0.706193155399912,0.0301986540735927,0,3308,28.008,-0.105327618758691,0.0291792856773899,0.0166040561932312
0.06,-0.105321438898016,0.0362490769994905,0.0044825315484788,0.657358457957818,-0.000421705037773085,-0.257936683483224,0.706152712074481,0.00247178995299855,0,3308,28.008,-0.105321438898016,0.0362490769994905,0.0044825315484788
0.06,-0.105336431755632,0.0344690257668998,0.0142162237489207,0.656876489624838,-9.46946773980755e-05,-0.258102572799694,0.705764599335184,0.0301986540735927,0,3308,28.008,-0.105336431755632,0.0344690257668998,0.0142162237489207
0.06,-0.105336178811761,0.0359504699236479,0.0127837043777454,0.656844073758012,-0.000194032715104582,-0.257769730453514,0.705612789579237,0.0301986540735927,0,3308,28.008,-0.105336178811761,0.0359504699236479,0.0127837043777454
0.06,-0.105337445591156,0.0398808677070762,0.0162242608635362,0.656780967483686,-0.000267605688401961,-0.256990338605588,0.705269696639679,0.0319987291099891,0,3308,28.008,-0.105337445591156,0.0398808677070762,0.0162242608635362
0.06,-0.1053372578325,0.0360525264610198,0.0146158105845558,0.656746254648042,-0.000204888734624241,-0.257700370902531,0.705496396969486,0.0319987291099891,0,3308,28.008,-0.1053372578325,0.0360525264610198,0.0146158105845558
0.06,-0.1051904941922,0.0350745895052978,0.00406708933747603,0.756789000042481,0.00103802802483111,-0.159647375172855,0.773445507121905,0.00247178995299855,0,3308,28.008,-0.1051904941922,0.0350745895052978,0.00406708933747603
0.06,-0.105259675718465,0.0378125189500974,0.00188943615707298,0.668478481726058,0.0801262305105298,-0.0497500672501124,0.675099076090312,0.00247178995299855,0,3308,28.008,-0.105259675718465,0.0378125189500974,0.00188943615707298
0.06,-0.105339959821454,0.0337818862834327,0.011339406774795,0.656857978668203,9.44574561351547e-05,-0.25861108308217,0.705933499244242,0.0301986540735927,0,3308,28.008,-0.105339959821454,0.0337818862834327,0.011339406774795
0.06,-0.105339635348592,0.0393547983966383,0.0123909959605385,0.656914975167889,-0.000254787315869232,-0.257097627643268,0.705433582739155,0.0319987291099891,0,3308,28.008,-0.105339635348592,0.0393547983966383,0.0123909959605385
0.06,-0.105346248575138,0.031687415987414,0.0179896837409617,0.656795432438155,0.000765608577420428,-0.257789896785214,0.705575266794867,0.0301986540735927,0,3308,28.008,-0.105346248575138,0.031687415987414,0.0179896837409617
0.06,-0.105346109077464,0.0276597613584791,0.0109138664116677,0.656621267395582,0.000136384485713616,-0.25913763965737,0.705906384504419,0.0301986540735927,0,3308,28.008,-0.105346109077464,0.0276597613584791,0.0109138664116677
0.06,-0.105346188237785,0.0264959454709632,0.01376060049304,0.656645253388901,0.000166799378654045,-0.259205436477427,0.705953592610491,0.0301986540735927,0,3308,28.008,-0.105346188237785,0.0264959454709632,0.01376060049304
0.06,-0.106393959569008,0.0258500465416699,0.000499298827737526,0.619271903665883,-0.0188434134633977,-0.00109787916875293,0.619559496932771,0.0270427703326298,0,3308,28.008,-0.106393959569008,0.0258500465416699,0.000499298827737526
0.06,-0.105010750762885,0.0292139841023296,0.00378620404302721,0.747601426211046,0.0215773040460854,-0.110690237316614,0.756059389968734,0.0270427703326298,0,3308,28.008,-0.105010750762885,0.0292139841023296,0.00378620404302721
0.06,-0.105257930012477,0.0387730995180331,0.00407414207010746,0.678336608361487,-0.026802652881006,-0.203199411426286,0.708624680101402,0.00247178995299855,0,3308,28.008,-0.105257930012477,0.0387730995180331,0.00407414207010746
0.06,-0.105330661139948,0.0330462075830916,0.00471073570704615,0.67177298439361,-0.0697258444683205,-0.16893854718048,0.696190253214859,0.00247178995299855,0,3308,28.008,-0.105330661139948,0.0330462075830916,0.00471073570704615
0.06,-0.105354001452849,0.0300375890364267,0.0131654431969321,0.656671284717503,0.000136803652654073,-0.258790140002631,0.705825425619081,0.0301986540735927,0,3308,28.008,-0.105354001452849,0.0300375890364267,0.0131654431969321
0.06,-0.105396892561823,0.0355152485040202,0.000499733984001126,0.651580066798616,-0.0399166350339043,0.000649946588636349,0.652801917607697,0.00247178995299855,0,3308,28.008,-0.105396892561823,0.0355152485040202,0.000499733984001126
0.06,-0.104830392426822,0.0392884006704942,0.000773834751477615,0.713318199481744,0.0210043945010484,-0.0763902772201116,0.717704335192423,0.0827317126962898,0,3308,28.008,-0.104830392426822,0.0392884006704942,0.000773834751477615
0.06,-0.105346944984448,0.039524414858284,0.00802808470609767,0.657230347873059,-0.000365114079295914,-0.257062432356388,0.705714501482445,0.00247178995299855,0,3308,28.008,-0.105346944984448,0.039524414858284,0.00802808470609767
0.06,-0.105349369870691,0.0353352005502339,0.00786321352772034,0.657024093153209,-0.000423329615412211,-0.257434744622155,0.705658193412671,0.00247178995299855,0,3308,28.008,-0.105349369870691,0.0353352005502339,0.00786321352772034
